datetime,open,high,low,close,volume,option_symbol,expiry_date
2024-01-22 17:36:00,7.19,7.19,7.19,7.19,5,O:SPY240205C00480000,2024-02-05
2024-01-22 17:43:00,7.27,7.27,7.27,7.27,5,O:SPY240205C00480000,2024-02-05
2024-01-22 17:50:00,7.2,7.2,7.2,7.2,5,O:SPY240205C00480000,2024-02-05
2024-01-22 17:52:00,7.3,7.3,7.3,7.3,30,O:SPY240205C00480000,2024-02-05
2024-01-22 18:01:00,7.07,7.07,7.07,7.07,1,O:SPY240205C00480000,2024-02-05
2024-01-22 18:46:00,7.06,7.06,7.06,7.06,18,O:SPY240205C00480000,2024-02-05
2024-01-22 18:52:00,7.26,7.26,7.26,7.26,14,O:SPY240205C00480000,2024-02-05
2024-01-22 19:20:00,6.76,6.76,6.76,6.76,2,O:SPY240205C00480000,2024-02-05
2024-01-22 20:34:00,7.37,7.37,7.37,7.37,1,O:SPY240205C00480000,2024-02-05
2024-01-22 20:37:00,7.44,7.44,7.44,7.44,5,O:SPY240205C00480000,2024-02-05
2024-01-23 15:03:00,7.29,7.29,7.29,7.29,1,O:SPY240206C00480000,2024-02-06
2024-01-23 17:59:00,7.17,7.17,7.17,7.17,1,O:SPY240206C00480000,2024-02-06
2024-01-23 18:06:00,7.05,7.05,7.05,7.05,1,O:SPY240206C00480000,2024-02-06
2024-01-23 19:46:00,7.48,7.48,7.41,7.41,2,O:SPY240206C00480000,2024-02-06
2024-01-23 19:51:00,7.32,7.32,7.32,7.32,1,O:SPY240206C00480000,2024-02-06
2024-01-23 20:12:00,7.82,7.82,7.82,7.82,1,O:SPY240206C00480000,2024-02-06
2024-01-23 20:32:00,7.56,7.56,7.56,7.56,1,O:SPY240206C00480000,2024-02-06
2024-01-24 14:46:00,9.58,9.58,9.58,9.58,1,O:SPY240207C00480000,2024-02-07
2024-01-24 14:47:00,9.59,9.59,9.59,9.59,1,O:SPY240207C00480000,2024-02-07
2024-01-24 14:48:00,9.74,9.74,9.74,9.74,1,O:SPY240207C00480000,2024-02-07
2024-01-24 14:49:00,9.54,9.54,9.54,9.54,1,O:SPY240207C00480000,2024-02-07
2024-01-24 14:51:00,9.33,9.33,9.33,9.33,1,O:SPY240207C00480000,2024-02-07
2024-01-24 15:14:00,9.65,9.65,9.65,9.65,1,O:SPY240207C00480000,2024-02-07
2024-01-24 16:23:00,10.32,10.32,10.32,10.32,1,O:SPY240207C00480000,2024-02-07
2024-01-24 18:15:00,10.11,10.12,10.08,10.1,9,O:SPY240207C00480000,2024-02-07
2024-01-24 19:55:00,9.15,9.15,9.15,9.15,1,O:SPY240207C00480000,2024-02-07
2024-01-24 20:27:00,8.44,8.44,8.44,8.44,2,O:SPY240207C00480000,2024-02-07
2024-01-25 14:47:00,9.65,9.73,9.65,9.73,2,O:SPY240208C00480000,2024-02-08
2024-01-25 14:50:00,9.84,9.84,9.84,9.84,1,O:SPY240208C00480000,2024-02-08
2024-01-26 14:32:00,10.56,10.57,10.5,10.5,700,O:SPY240209C00480000,2024-02-09
2024-01-26 14:38:00,10.55,10.55,10.55,10.55,1,O:SPY240209C00480000,2024-02-09
2024-01-26 14:45:00,10.46,10.46,10.46,10.46,1,O:SPY240209C00480000,2024-02-09
2024-01-26 15:05:00,10.0,10.0,10.0,10.0,2,O:SPY240209C00480000,2024-02-09
2024-01-26 15:10:00,10.2,10.2,10.2,10.2,1,O:SPY240209C00480000,2024-02-09
2024-01-26 15:18:00,10.0,10.0,10.0,10.0,1,O:SPY240209C00480000,2024-02-09
2024-01-26 15:56:00,11.27,11.27,11.27,11.27,1,O:SPY240209C00480000,2024-02-09
2024-01-26 15:58:00,11.3,11.3,11.3,11.3,2,O:SPY240209C00480000,2024-02-09
2024-01-26 16:17:00,11.01,11.09,11.01,11.09,2,O:SPY240209C00480000,2024-02-09
2024-01-26 16:19:00,10.91,10.91,10.91,10.91,1,O:SPY240209C00480000,2024-02-09
2024-01-26 16:28:00,11.12,11.14,11.11,11.14,10,O:SPY240209C00480000,2024-02-09
2024-01-26 16:54:00,11.09,11.09,11.09,11.09,2,O:SPY240209C00480000,2024-02-09
2024-01-26 17:02:00,11.19,11.2,11.19,11.2,2,O:SPY240209C00480000,2024-02-09
2024-01-26 17:04:00,11.13,11.13,11.13,11.13,1,O:SPY240209C00480000,2024-02-09
2024-01-26 17:27:00,10.82,10.82,10.82,10.82,2,O:SPY240209C00480000,2024-02-09
2024-01-26 17:31:00,10.69,10.69,10.69,10.69,2,O:SPY240209C00480000,2024-02-09
2024-01-26 17:37:00,10.12,10.12,10.12,10.12,2,O:SPY240209C00480000,2024-02-09
2024-01-26 17:52:00,9.59,9.6,9.59,9.6,12,O:SPY240209C00480000,2024-02-09
2024-01-26 19:09:00,9.9,9.9,9.9,9.9,1,O:SPY240209C00480000,2024-02-09
2024-01-26 19:15:00,9.95,9.95,9.95,9.95,3,O:SPY240209C00480000,2024-02-09
2024-01-26 19:17:00,9.98,9.98,9.98,9.98,20,O:SPY240209C00480000,2024-02-09
2024-01-26 19:22:00,9.87,9.88,9.87,9.88,4,O:SPY240209C00480000,2024-02-09
2024-01-26 19:56:00,10.21,10.21,10.21,10.21,25,O:SPY240209C00480000,2024-02-09
2024-01-26 20:03:00,10.42,10.42,10.42,10.42,1,O:SPY240209C00480000,2024-02-09
2024-01-26 20:29:00,10.0,10.0,10.0,10.0,1,O:SPY240209C00480000,2024-02-09
2024-01-29 14:42:00,10.51,10.51,10.51,10.51,1,O:SPY240212C00480000,2024-02-12
2024-01-29 14:46:00,10.5,10.5,10.5,10.5,1,O:SPY240212C00480000,2024-02-12
2024-01-29 14:47:00,10.49,10.49,10.49,10.49,1,O:SPY240212C00480000,2024-02-12
2024-01-29 15:21:00,10.56,10.56,10.56,10.56,1,O:SPY240212C00480000,2024-02-12
2024-01-29 15:22:00,10.56,10.56,10.56,10.56,1,O:SPY240212C00480000,2024-02-12
